==23034== NVPROF is profiling process 23034, command: /opt/conda/bin/python3.7 /opt/conda/bin/lightseq-train /tmp/wmt14_en_de/ --task translation --arch ls_transformer_wmt_en_de_big_t2t --encoder-layers 6 --decoder-layers 6 --optimizer ls_adam --adam-betas (0.9, 0.98) --clip-norm 0.0 --lr 5e-4 --lr-scheduler
==23034== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==23034== Profiling application: /opt/conda/bin/python3.7 /opt/conda/bin/lightseq-train /tmp/wmt14_en_de/ --task translation --arch ls_transformer_wmt_en_de_big_t2t --encoder-layers 6 --decoder-layers 6 --optimizer ls_adam --adam-betas (0.9, 0.98) --clip-norm 0.0 --lr 5e-4 --lr-scheduler
==23034== Profiling result:
         Device   Context    Stream                Kernel  inst_executed  inst_per_warp  sm_efficiency  flop_count_hp  flop_count_sp  dram_read_bytes  dram_write_bytes  gld_transactions  gst_transactions         ipc  achieved_occupancy
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3131434    6116.082031          84.60         524288        2097152          3102144           3497408            780194             61568    0.885844            0.095174
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         436512     223.622951          33.86        1966080        1045504           985216            672064             92160             46080    1.194258            0.434312
Tesla V100-SXM2         1         7  void ker_layer_norm<         388320     202.250000          31.60        1966080        4672320                0                 0            122880             31200    1.416523            0.306867
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3127069    6107.556641          75.94         524288        2097152          3080960           1793792            768995             61568    1.182480            0.096815
Tesla V100-SXM2         1         7  void bias_add_transf         138240      72.000000          32.66         491520              0           988864              6016             61440             30720    0.480455            0.286669
Tesla V100-SXM2         1         7  void cutlass::Kernel        3703296    2411.000000          80.71              0        3145728          2050784           1370272            503808             17280    0.892922            0.118971
Tesla V100-SXM2         1         7  void ker_attn_softma         399360    1040.000000          70.68         258048        2703360           206880            242400             17627             17280    0.267015            0.072026
Tesla V100-SXM2         1         7  ls_dropout_kernel(in         119150     186.171875           8.74         161280         504000           333824            417952             15120             15120    1.607246            0.446246
Tesla V100-SXM2         1         7  void cutlass::Kernel        3090432    2012.000000          69.61              0        3145728          1354848           1069504            342707             30720    1.514275            0.115218
Tesla V100-SXM2         1         7  void transform4d_021         240000     125.000000          20.11              0              0                0                 0             30720             30720    1.552705            0.419629
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_        3131191    6115.607422          85.04         524288        2097152          3103104           3475168            781027             61568    0.841309            0.094840
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         436512     223.622951          36.05        1966080        1045504           990336            561856             92160             46080    1.063299            0.437442
Tesla V100-SXM2         1         7  void ker_layer_norm<         388320     202.250000          35.44        1966080        4672320           325632             97536            122880             31200    1.181741            0.314908
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10226688   19974.000000          74.49              0        2097152          9390848           4256928           1415042            122880    1.648322            0.124657
Tesla V100-SXM2         1         7  void ls_dropout_act_        1904704     247.750260          70.50        5898240        6144000          3950880           5581568            245760            184320    1.204942            0.682502
Tesla V100-SXM2         1         7  volta_fp16_s884gemm_       10171497   39732.410156          73.05         524288        2097152         12349376           3189600           1996023             61504    1.457784            0.062334
Tesla V100-SXM2         1         7  ls_dropout_res_bias_         436512     223.622951          37.75        1966080        1045504          1967488           1320096             92160             46080    0.835945            0.424102
Tesla V100-SXM2         1         7  void at::native::unr            637     159.250000           0.55              0            512                0                 0                16                63    0.123020            0.062428
Tesla V100-SXM2         1         7  _ZN2at6native27unrol            669     167.250000           0.68              0              0            12928               128                63                32    0.082491            0.062454
Tesla V100-SXM2         1         7  void at::native::vec        1837232      15.999861          59.65              0              0             2272          29401120                 0            918594    0.548279            0.095440
